    Finished release [optimized] target(s) in 0.04s
     Running `target/release/tester ../final.out`
156 84 80
157 84 80
158 84 80
159 84 80
160 84 80
161 84 80
162 84 80
163 84 80
164 84 80
164 84 80
165 84 80
165 84 80
165 84 80
166 84 80
166 84 80
166 84 80
166 84 80
167 84 80
167 84 80
167 84 80
167 84 80
168 84 80
168 84 80
168 84 80
168 84 80
168 84 80
169 84 80
169 84 80
169 84 80
169 84 80
169 84 80
169 84 80
169 83 400
169 83 80
169 83 80
169 83 80
169 82 80
169 82 80
169 82 80
169 82 80
169 82 80
169 82 80
169 82 80
169 82 80
169 82 80
169 82 80
169 81 80
169 81 80
169 81 80
169 81 80
169 81 80
169 81 80
169 81 80
169 81 80
169 81 80
169 81 80
169 81 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 80 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 79 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 78 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 77 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 76 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 75 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 74 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 73 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 72 80
169 71 80
169 71 80
169 71 80
