    Finished release [optimized] target(s) in 0.04s
     Running `target/release/tester ../final.out`
169 153 120
168 153 120
167 153 120
166 153 120
165 153 120
164 153 120
163 153 120
162 153 120
161 153 120
160 153 120
159 153 120
158 153 120
157 153 120
156 153 120
155 153 120
154 153 120
153 153 120
152 153 120
151 153 120
150 153 120
149 153 120
148 153 120
147 153 120
146 153 120
145 153 120
144 153 120
143 153 120
142 153 120
141 153 120
140 153 120
139 153 120
138 153 120
137 153 120
136 153 120
135 153 120
134 153 120
133 153 120
133 152 120
133 151 120
133 150 120
133 149 120
133 148 120
133 147 120
133 146 120
133 145 120
133 144 120
133 143 120
135 194 120
136 194 120
137 194 120
138 194 120
139 194 120
140 194 120
141 194 120
142 194 120
143 194 120
144 194 120
145 194 120
146 194 120
147 194 120
148 194 120
149 194 120
149 194 120
150 194 120
150 194 120
151 194 120
151 194 120
151 194 120
152 194 240
152 194 120
153 194 240
153 194 120
153 194 120
154 194 360
154 194 120
155 194 360
155 194 120
156 194 360
156 194 120
157 194 360
157 194 120
158 194 360
158 194 120
159 194 360
159 194 120
160 194 360
161 194 360
162 194 360
163 194 120
163 194 120
164 194 120
164 194 120
165 194 120
166 194 120
167 194 120
168 194 120
169 194 120
170 194 120
171 194 120
172 194 120
173 194 120
174 194 120
175 194 120
176 194 120
177 194 120
178 194 120
179 194 120
180 194 120
181 194 120
182 194 120
183 194 120
183 193 120
134 194 120
133 194 120
132 194 120
132 194 120
131 194 120
131 194 120
130 194 120
130 194 120
130 194 120
129 194 240
129 194 120
129 194 120
128 194 360
128 194 120
128 194 120
128 194 120
127 194 600
127 194 120
127 194 120
126 194 720
126 194 120
126 194 120
126 194 120
125 194 960
125 194 120
125 194 120
125 194 120
125 194 120
124 194 1320
124 194 120
124 194 120
124 194 120
123 194 1560
123 194 120
123 194 120
123 194 120
122 194 1800
122 194 120
122 194 120
122 194 120
121 194 2040
121 194 120
121 194 120
121 194 120
120 194 2280
120 194 120
120 194 120
120 194 120
119 194 2520
119 194 120
119 194 120
119 194 120
118 194 2760
118 194 120
118 194 120
117 194 2880
117 194 120
117 194 120
116 194 3000
116 194 120
115 194 3000
115 194 120
114 194 3000
114 194 120
113 194 3000
112 194 3000
111 194 3000
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
110 194 120
109 194 2280
108 194 2280
107 194 2280
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
106 194 120
105 194 1440
104 194 1440
103 194 1440
102 194 120
102 194 120
102 194 120
102 194 120
102 194 120
102 194 120
102 194 120
101 194 720
100 194 720
99 194 720
98 194 120
98 194 120
98 194 120
98 194 120
97 194 360
96 194 360
95 194 360
94 194 120
94 194 120
93 194 120
93 194 120
92 194 120
91 194 120
90 194 120
89 194 120
88 194 120
87 194 120
86 194 120
85 194 120
84 194 120
83 194 120
82 194 120
81 194 120
80 194 120
79 194 120
78 194 120
77 194 120
76 194 120
75 194 120
74 194 120
73 194 120
72 194 120
71 194 120
70 194 120
69 194 120
68 194 120
67 194 120
66 194 120
65 194 120
64 194 120
64 194 120
63 194 120
63 194 120
63 193 120
63 193 120
63 192 120
63 191 120
63 190 120
63 189 120
63 188 120
63 187 120
63 186 120
63 185 120
62 185 120
61 185 120
60 185 120
59 185 120
58 185 120
57 185 120
56 185 120
55 185 120
54 185 120
53 185 120
53 185 120
52 185 120
52 185 120
51 185 120
51 185 120
50 185 120
50 185 120
50 185 120
49 185 240
49 185 120
49 185 120
48 185 360
48 185 120
47 185 360
47 185 120
47 185 120
46 185 480
46 185 120
45 185 480
45 185 120
45 185 120
44 185 600
44 185 120
43 185 600
42 185 600
41 185 600
41 184 120
41 184 120
41 184 120
41 183 240
41 182 240
41 181 240
41 180 120
41 179 120
41 178 120
41 177 120
41 176 120
41 175 120
41 174 120
41 173 120
41 172 120
41 171 120
41 170 120
41 169 120
41 168 120
41 167 120
41 166 120
41 165 120
42 165 120
43 165 120
44 165 120
45 165 120
46 165 120
47 165 120
48 165 120
49 165 120
50 165 120
51 165 120
52 165 120
53 165 120
54 165 120
55 165 120
56 165 120
56 164 120
56 163 120
56 162 120
56 161 120
56 160 120
56 159 120
56 158 120
56 157 120
56 156 120
56 155 120
56 154 120
56 153 120
56 152 120
56 151 120
56 150 120
56 149 120
56 148 120
56 147 120
56 146 120
56 145 120
56 144 120
56 143 120
56 142 120
106 123 120
107 123 120
108 123 120
109 123 120
110 123 120
111 123 120
112 123 120
113 123 120
114 123 120
115 123 120
116 123 120
117 123 120
118 123 120
119 123 120
120 123 120
121 123 120
122 123 120
123 123 120
124 123 120
125 123 120
126 123 120
127 123 120
128 123 120
129 123 120
130 123 120
131 123 120
132 123 120
133 123 120
133 123 120
133 124 120
133 124 120
133 125 120
133 126 120
133 127 120
133 128 120
133 129 120
133 130 120
133 131 120
133 132 120
133 133 120
133 134 120
133 135 120
133 136 120
133 137 120
133 138 120
133 139 120
133 140 120
133 141 120
133 142 120
121 122 120
121 121 120
121 120 120
121 119 120
121 118 120
121 117 120
121 116 120
121 115 120
121 114 120
121 113 120
121 113 120
121 112 120
121 112 120
121 111 120
121 111 120
121 111 120
121 110 240
121 110 120
121 110 120
121 109 360
121 109 120
121 108 360
121 108 120
121 108 120
121 107 480
121 107 120
121 107 120
121 106 600
121 106 120
121 106 120
121 105 720
121 105 120
121 105 120
121 104 840
121 104 120
121 103 840
121 103 120
121 103 120
121 102 960
121 102 120
121 101 960
121 100 960
121 99 960
121 98 120
121 98 120
121 98 120
121 98 120
121 98 120
121 97 480
121 96 480
121 95 480
121 94 120
121 94 120
121 93 120
121 92 120
121 91 120
121 90 120
121 89 120
121 88 120
121 87 120
121 86 120
121 85 120
121 84 120
122 84 120
123 84 120
124 84 120
125 84 120
126 84 120
127 84 120
128 84 120
129 84 120
130 84 120
131 84 120
132 84 120
133 84 120
