    Finished release [optimized] target(s) in 0.04s
     Running `target/release/tester ../mv10.out`
198 154 120
197 154 120
196 154 120
195 154 120
194 154 120
193 154 120
192 154 120
191 154 120
190 154 120
189 154 120
188 154 120
187 154 120
186 154 120
185 154 120
185 154 120
184 154 120
184 154 120
183 154 120
183 154 120
182 154 120
182 154 120
182 154 120
181 154 240
181 154 120
181 154 120
180 154 360
180 154 120
179 154 360
179 154 120
179 154 120
179 154 120
178 154 600
178 154 120
177 154 600
177 154 120
177 154 120
176 154 720
176 154 120
175 154 720
175 154 120
175 154 120
174 154 840
174 154 120
173 154 840
173 154 120
173 154 120
172 154 960
172 154 120
172 154 120
171 154 1080
170 154 1080
169 154 1080
168 154 120
168 154 120
168 154 120
168 154 120
168 154 120
168 154 120
168 154 120
168 154 120
167 154 840
167 154 120
166 154 840
166 154 120
166 154 120
165 154 960
165 154 120
165 154 120
164 154 1080
164 154 120
164 154 120
163 154 1200
163 154 120
163 154 120
162 154 1320
162 154 120
162 154 120
162 154 120
161 154 1560
161 154 120
161 154 120
161 154 120
160 154 1800
160 154 120
160 154 120
159 154 1920
159 154 120
158 154 1920
158 154 120
157 154 1920
157 154 120
156 154 1920
156 154 120
155 154 1920
155 154 120
154 154 1920
154 154 120
153 154 1920
153 154 120
152 154 1920
152 154 120
151 154 1920
151 154 120
151 154 120
150 154 2040
150 154 120
150 154 120
149 154 2160
149 154 120
149 154 120
148 154 2280
148 154 120
148 154 120
147 154 2400
147 154 120
147 154 120
146 154 2520
146 154 120
145 154 2520
145 154 120
145 154 120
144 154 2640
144 154 120
143 154 2640
143 154 120
142 154 2640
142 154 120
141 154 2640
141 154 120
140 154 2640
140 154 120
139 154 2640
139 154 120
138 154 2640
137 154 2640
136 154 2640
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
135 154 120
134 154 2400
134 154 120
133 154 2400
133 154 120
132 154 2400
131 154 2400
130 154 2400
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
129 154 120
128 154 2160
127 154 2160
127 154 120
126 154 2160
126 154 120
125 154 2160
125 154 120
125 154 120
124 154 2280
124 154 120
124 154 120
124 154 120
123 154 2520
123 154 120
123 154 120
122 154 2640
122 154 120
122 154 120
121 154 2760
121 154 120
121 154 120
120 154 2880
120 154 120
120 154 120
119 154 3000
119 154 120
118 154 3000
118 154 120
117 154 3000
116 154 3000
115 154 3000
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
114 154 120
113 154 1920
112 154 1920
111 154 1920
110 154 120
110 154 120
110 154 120
110 154 120
110 154 120
110 154 120
110 154 120
110 154 120
110 154 120
109 154 960
108 154 960
107 154 960
106 154 120
106 154 120
106 154 120
106 154 120
106 154 120
106 154 120
106 154 120
105 154 720
105 154 120
104 154 720
104 154 120
103 154 720
103 154 120
102 154 720
102 154 120
101 154 720
101 154 120
100 154 720
100 154 120
99 154 720
99 154 120
98 154 720
98 154 120
97 154 720
96 154 720
95 154 720
94 154 120
94 154 120
94 154 120
94 154 120
94 154 120
94 154 120
93 154 600
92 154 600
91 154 600
90 154 120
90 154 120
90 154 120
90 154 120
89 154 360
89 154 120
88 154 360
87 154 360
86 154 360
85 154 120
85 154 120
84 154 120
84 154 120
83 154 120
83 154 120
82 154 120
81 154 120
80 154 120
79 154 120
78 154 120
77 154 120
76 154 120
75 154 120
74 154 120
73 154 120
73 155 120
73 156 120
73 157 120
73 158 120
73 159 120
73 160 120
73 161 120
191 153 120
191 152 120
191 151 120
191 150 120
191 149 120
191 148 120
191 147 120
191 146 120
191 145 120
191 144 120
191 143 120
191 142 120
191 141 120
191 140 120
191 139 120
191 138 120
191 137 120
191 136 120
191 135 120
191 134 120
191 133 120
191 132 120
191 131 120
191 130 120
191 129 120
191 128 120
191 127 120
191 126 120
191 125 120
191 124 120
191 123 120
191 122 120
191 121 120
191 120 120
191 119 120
191 118 120
191 117 120
191 116 120
191 115 120
191 114 120
191 113 120
191 112 120
191 111 120
191 110 120
191 109 120
191 108 120
191 107 120
191 106 120
191 105 120
191 104 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 155 120
159 156 1800
159 157 1800
159 158 1800
159 159 120
159 159 120
159 159 120
159 159 120
159 159 120
159 159 120
159 159 120
159 159 120
159 159 120
159 159 120
159 160 1080
159 161 1080
159 162 1080
159 163 120
159 163 120
159 163 120
159 163 120
159 163 120
159 163 120
159 164 600
159 165 600
159 166 600
159 167 120
159 167 120
159 167 120
159 167 120
159 167 120
159 168 480
159 168 120
159 168 120
159 169 600
159 169 120
159 170 600
159 170 120
159 171 600
159 171 120
159 171 120
159 172 720
159 172 120
159 173 720
159 173 120
159 174 720
159 174 120
159 174 120
159 175 840
159 175 120
159 176 840
159 177 840
159 178 840
159 179 120
159 179 120
159 179 120
159 179 120
159 179 120
159 180 480
159 181 480
159 182 480
159 183 120
159 183 120
159 184 120
159 184 120
159 185 120
159 185 120
159 186 120
159 187 120
159 188 120
159 188 120
39 188 120
40 188 120
41 188 120
42 188 120
43 188 120
44 188 120
45 188 120
46 188 120
47 188 120
48 188 120
49 188 120
50 188 120
51 188 120
52 188 120
53 188 120
54 188 120
55 188 120
56 188 120
57 188 120
58 188 120
59 188 120
60 188 120
61 188 120
62 188 120
63 188 120
64 188 120
65 188 120
66 188 120
67 188 120
68 188 120
68 188 120
69 188 120
69 188 120
70 188 120
70 188 120
70 188 120
71 188 240
71 188 120
72 188 240
72 188 120
73 188 240
73 188 120
73 188 120
73 187 360
73 187 120
73 186 360
73 186 120
73 185 360
73 185 120
73 184 360
73 183 360
73 182 360
73 181 120
73 181 120
73 180 120
73 179 120
73 178 120
73 177 120
73 176 120
73 175 120
73 174 120
73 173 120
73 172 120
73 171 120
73 170 120
73 169 120
73 168 120
73 167 120
73 166 120
73 165 120
73 164 120
73 163 120
73 162 120
48 119 120
49 119 120
50 119 120
51 119 120
52 119 120
53 119 120
54 119 120
55 119 120
56 119 120
57 119 120
58 119 120
59 119 120
59 119 120
60 119 120
60 119 120
61 119 120
61 119 120
62 119 120
62 119 120
63 119 120
63 119 120
64 119 120
64 119 120
65 119 120
65 119 120
66 119 120
67 119 120
68 119 120
69 119 120
70 119 120
71 119 120
72 119 120
73 119 120
73 119 120
73 120 120
73 120 120
73 121 120
73 121 120
73 122 120
73 122 120
73 123 120
73 123 120
73 124 120
73 124 120
73 125 120
73 125 120
73 125 120
73 126 240
73 126 120
73 127 240
73 127 120
73 128 240
73 128 120
73 129 240
73 130 240
73 131 240
73 132 120
73 133 120
73 134 120
73 135 120
73 136 120
73 137 120
73 138 120
73 139 120
73 140 120
73 141 120
73 142 120
73 143 120
73 144 120
73 145 120
73 146 120
73 147 120
73 148 120
73 149 120
73 150 120
73 151 120
73 152 120
73 153 120
Total Cost = 233040
