    Finished release [optimized] target(s) in 0.03s
     Running `target/release/tester ../mv10.out`
41 190 100
42 190 100
43 190 100
44 190 100
45 190 100
46 190 100
47 190 100
48 190 100
49 190 100
50 190 100
51 190 100
52 190 100
53 190 100
54 190 100
55 190 100
56 190 100
57 190 100
58 190 100
59 190 100
60 190 100
61 190 100
62 190 100
63 190 100
64 190 100
65 190 100
66 190 100
67 190 100
68 190 100
69 190 100
70 190 100
71 190 100
72 190 100
72 189 100
72 188 100
72 187 100
72 187 100
72 186 100
72 186 100
72 185 100
72 185 100
72 184 100
72 184 100
72 183 100
72 183 100
72 182 100
72 182 100
72 181 100
72 181 100
72 180 100
72 179 100
72 178 100
72 177 100
72 177 100
72 176 100
72 176 100
72 175 100
72 175 100
72 174 100
72 174 100
72 173 100
72 173 100
72 172 100
72 172 100
72 171 100
72 171 100
72 170 100
72 170 100
72 169 100
72 169 100
72 169 100
72 168 200
72 168 100
72 167 200
72 167 100
72 166 200
72 166 100
72 165 200
72 165 100
72 164 200
72 164 100
72 163 200
72 163 100
72 162 200
72 162 100
72 161 200
72 161 100
72 160 200
72 159 200
72 158 200
72 157 100
72 156 100
72 155 100
72 154 100
72 153 100
72 152 100
72 151 100
72 150 100
72 149 100
72 148 100
72 147 100
72 146 100
72 145 100
72 144 100
72 143 100
72 142 100
72 141 100
72 140 100
72 139 100
72 138 100
72 137 100
72 136 100
72 135 100
72 134 100
72 133 100
72 132 100
72 131 100
72 130 100
72 130 100
72 129 100
72 129 100
72 128 100
72 128 100
72 127 100
72 127 100
72 127 100
72 126 200
72 126 100
72 126 100
72 125 300
72 125 100
72 125 100
72 124 400
72 124 100
72 124 100
72 123 500
72 123 100
72 123 100
72 122 600
72 122 100
72 121 600
72 121 100
72 121 100
72 120 700
72 120 100
72 119 700
72 119 100
72 119 100
72 118 800
72 118 100
72 117 800
72 117 100
72 117 100
72 116 900
72 116 100
72 116 100
72 115 1000
72 115 100
72 115 100
72 115 100
72 114 1200
72 114 100
72 114 100
72 113 1300
72 113 100
72 113 100
72 113 100
72 112 1500
72 112 100
72 112 100
72 112 100
72 111 1700
72 111 100
72 111 100
72 110 1800
72 110 100
72 110 100
72 110 100
72 109 2000
72 109 100
72 108 2000
72 108 100
72 107 2000
72 106 2000
72 105 2000
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 104 100
72 103 1200
72 102 1200
72 101 1200
72 100 100
72 100 100
72 100 100
72 100 100
72 100 100
72 100 100
72 99 500
