    Finished release [optimized] target(s) in 0.03s
     Running `target/release/tester ../mv10.out`
47 76 25
48 76 25
49 76 25
50 76 25
51 76 25
52 76 25
53 76 25
54 76 25
55 76 25
56 76 25
57 76 25
58 76 25
59 76 25
60 76 25
61 76 25
62 76 25
63 76 25
64 76 25
65 76 25
66 76 25
66 76 25
67 76 25
67 76 25
68 76 25
68 76 25
69 76 25
69 76 25
70 76 25
70 76 25
71 76 25
71 76 25
71 76 25
72 76 25
72 76 25
72 76 25
73 76 25
73 76 25
73 76 25
73 76 25
74 76 25
74 76 25
74 76 25
74 76 25
74 76 25
75 76 25
75 76 25
75 76 25
75 76 25
75 76 25
75 76 25
76 76 25
76 76 25
76 76 25
76 76 25
76 76 25
76 76 25
76 76 25
77 76 25
77 76 25
77 76 25
77 76 25
77 76 25
77 76 25
77 76 25
77 76 25
77 76 25
78 76 25
78 76 25
78 76 25
78 76 25
78 76 25
78 76 25
78 76 25
78 76 25
78 76 25
78 76 25
78 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
79 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
80 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
81 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
82 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
83 76 25
